Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,org.jkiss.dbeaver.core,CoreMessages,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: BUNDLE_NAME; core_eula_dialog_accept; core_eula_dialog_title; actions_menu_about; actions_menu_check_update; actions_menu_database; actions_menu_edit; actions_menu_edit_ContentFormat; actions_menu_file; actions_menu_help; actions_menu_navigate; actions_menu_window; actions_menu_window_showView; action_menu_showKeyAssist; action_menu_installNewSoftware; action_menu_installInfo; action_menu_enterpriseEdition; action_menu_marketplace_extensions; action_menu_transaction_manualcommit_name; action_menu_transaction_autocommit_name; action_menu_transaction_manualcommit_description; action_menu_transaction_autocommit_description; action_menu_transaction_smart_auto_commit; action_menu_transaction_smart_auto_commit_tip; action_menu_transaction_smart_auto_commit_recover; action_menu_transaction_smart_auto_commit_recover_tip; action_menu_transaction_auto_close_enabled; action_menu_transaction_auto_close_enabled_tip; action_menu_transaction_auto_close_ttl_tip; action_menu_tools_find_in_navigator; action_menu_transaction_pref_page_link; action_menu_transaction_pref_page_link_extended; pref_page_connection_types_label_auto_close_enabled_tip; pref_page_connection_types_label_auto_close_ttl_tip; action_menu_transactionMonitor_totalStatement; action_menu_transactionMonitor_modifyStatement; action_menu_transactionMonitor_autocommitMode; action_menu_transactionMonitor_uptime; action_menu_transactionMonitor_notConnected; actions_navigator_bookmark_error_message; actions_navigator_bookmark_error_title; actions_navigator_bookmark_title; common_error_sql; controls_itemlist_action_copy; model_navigator__connections; model_navigator_Connection; model_navigator_Connections; dialog_about_font; dialog_about_label_version; dialog_about_title; dialog_password_change_username; dialog_password_change_old_password; dialog_password_change_new_password; dialog_password_change_verify_password; dialog_connection_button_test; dialog_connection_events_settings_group; dialog_connection_events_checkbox_show_process; dialog_connection_events_checkbox_terminate_at_disconnect; dialog_connection_events_checkbox_wait_finish; dialog_connection_events_checkbox_wait_finish_timeout; dialog_connection_events_label_command; dialog_connection_events_label_event; dialog_connection_events_title; dialog_connection_message; dialog_connection_description; dialog_connection_wizard_final_button_test; dialog_connection_wizard_final_button_events; dialog_connection_wizard_final_checkbox_filter_catalogs; dialog_connection_wizard_final_checkbox_filter_schemas; dialog_connection_wizard_final_checkbox_auto_commit; dialog_connection_wizard_final_checkbox_show_only_entities; dialog_connection_wizard_final_checkbox_show_only_entities_tip; dialog_connection_wizard_final_checkbox_merge_entities; dialog_connection_wizard_final_checkbox_merge_entities_tip; dialog_connection_wizard_final_checkbox_show_system_objects; dialog_connection_wizard_final_checkbox_show_system_objects_tip; dialog_connection_wizard_final_checkbox_show_util_objects; dialog_connection_wizard_final_checkbox_show_util_objects_tip; dialog_connection_wizard_final_checkbox_hide_folders; dialog_connection_wizard_final_checkbox_hide_folders_tip; dialog_connection_wizard_final_checkbox_connection_readonly; dialog_connection_wizard_final_default_new_connection_name; dialog_connection_wizard_final_description; dialog_connection_wizard_final_group_filters; dialog_connection_wizard_final_group_security; dialog_connection_wizard_final_group_navigator; dialog_connection_wizard_final_group_misc; dialog_connection_wizard_final_header; dialog_connection_wizard_final_label_connection_name; dialog_connection_wizard_final_filter_catalogs; dialog_connection_wizard_final_filter_schemas_users; dialog_connection_wizard_final_filter_tables; dialog_connection_wizard_final_filter_attributes; dialog_connection_wizard_final_filter_link_tooltip; dialog_connection_wizard_final_filter_link_not_supported_text; dialog_connection_wizard_final_filter_link_not_supported_tooltip; dialog_connection_wizard_final_button_tunneling; dialog_connection_wizard_connection_init; dialog_connection_wizard_connection_init_description; dialog_connection_wizard_final_group_other; dialog_connection_wizard_start_dialog_error_title; dialog_connection_wizard_start_dialog_interrupted_message; dialog_connection_wizard_start_dialog_interrupted_title; dialog_connection_wizard_title; dialog_connection_from_url_title; dialog_connection_from_url_url; dialog_connection_from_url_drivers; dialog_connection_from_url_error_no_drivers_found; dialog_connection_from_url_error_no_driver_selected; dialog_migrate_wizard_choose_driver_description; dialog_migrate_wizard_choose_driver_title; dialog_migrate_wizard_name; dialog_migrate_wizard_start_description; dialog_migrate_wizard_start_title; dialog_migrate_wizard_window_title; dialog_new_connection_wizard_monitor_load_data_sources; dialog_new_connection_wizard_start_description; dialog_new_connection_wizard_start_title; dialog_new_connection_wizard_title; dialog_project_export_wizard_main_page; dialog_project_export_wizard_monitor_collect_info; dialog_project_export_wizard_monitor_export_driver_info; dialog_project_export_wizard_monitor_export_libraries; dialog_project_export_wizard_monitor_export_project; dialog_project_export_wizard_page_checkbox_overwrite_files; dialog_project_export_wizard_page_dialog_choose_export_dir_message; dialog_project_export_wizard_page_dialog_choose_export_dir_text; dialog_project_export_wizard_page_label_directory; dialog_project_export_wizard_page_message_check_script; dialog_project_export_wizard_page_message_configure_settings; dialog_project_export_wizard_page_message_no_output_dir; dialog_project_export_wizard_page_title; dialog_project_export_wizard_start_archive_name_prefix; dialog_project_export_wizard_start_checkbox_libraries; dialog_project_export_wizard_start_dialog_directory_message; dialog_project_export_wizard_start_dialog_directory_text; dialog_project_export_wizard_start_label_directory; dialog_project_export_wizard_start_label_output_file; dialog_project_export_wizard_start_message_choose_project; dialog_project_export_wizard_start_message_configure_settings; dialog_project_export_wizard_start_message_empty_output_directory; dialog_project_export_wizard_start_title; dialog_project_export_wizard_file_overwrite_window_title; dialog_project_export_wizard_file_overwrite_confirm; dialog_project_export_wizard_window_title; dialog_workspace_import_wizard_window_title; dialog_workspace_import_wizard_window_restart_dialog_title; dialog_workspace_import_wizard_window_restart_dialog_message; dialog_workspace_import_wizard_name; dialog_workspace_import_wizard_title; dialog_workspace_import_wizard_group; dialog_workspace_import_wizard_file_select_name; dialog_workspace_import_wizard_file_select_title; dialog_workspace_import_wizard_start_message_configure_settings; dialog_workspace_export_wizard_window_title; dialog_workspace_export_wizard_page_title; dialog_workspace_export_wizard_page_name; dialog_workspace_export_wizard_file_name; dialog_workspace_export_wizard_file_path_dialog; dialog_workspace_export_wizard_start_message_configure_settings; dialog_workspace_export_wizard_group; dialog_project_import_wizard_file_checkbox_import_libraries; dialog_project_import_wizard_file_column_source_name; dialog_project_import_wizard_file_column_target_name; dialog_project_import_wizard_file_description; dialog_project_import_wizard_file_dialog_export_archive_text; dialog_project_import_wizard_file_group_input; dialog_project_import_wizard_file_group_projects; dialog_project_import_wizard_file_label_file; dialog_project_import_wizard_file_message_cannt_find_projects; dialog_project_import_wizard_file_message_choose_project; dialog_project_import_wizard_file_message_project_exists; dialog_project_import_wizard_file_message_ready; dialog_project_import_wizard_file_name; dialog_project_import_wizard_file_title; dialog_project_import_wizard_message_success_import_message; dialog_project_import_wizard_message_success_import_title; dialog_project_import_wizard_monitor_import_drivers; dialog_project_import_wizard_monitor_import_project; dialog_project_import_wizard_monitor_import_projects; dialog_project_import_wizard_monitor_load_driver; dialog_project_import_wizard_monitor_load_libraries; dialog_project_import_wizard_title; dialog_scripts_export_wizard_page_name; dialog_scripts_export_wizard_window_title; dialog_scripts_import_wizard_description; dialog_scripts_import_wizard_dialog_choose_dir_message; dialog_scripts_import_wizard_dialog_choose_dir_text; dialog_scripts_import_wizard_dialog_error_text; dialog_scripts_import_wizard_dialog_error_title; dialog_scripts_import_wizard_dialog_message_no_scripts; dialog_scripts_import_wizard_dialog_message_success_imported; dialog_scripts_import_wizard_dialog_message_title; dialog_scripts_import_wizard_label_default_connection; dialog_scripts_import_wizard_label_file_mask; dialog_scripts_import_wizard_label_input_directory; dialog_scripts_import_wizard_label_root_folder; dialog_scripts_import_wizard_monitor_import_scripts; dialog_scripts_import_wizard_name; dialog_scripts_import_wizard_title; dialog_scripts_import_wizard_window_title; dialog_version_update_available_new_version; dialog_version_update_ignore_version; dialog_version_update_button_more_info; dialog_version_update_button_upgrade; dialog_version_update_button_early_access; dialog_version_update_current_version; dialog_version_update_n_a; dialog_version_update_new_version; dialog_version_update_no_new_version; dialog_version_update_notes; dialog_version_update_no_notes; dialog_version_update_press_more_info; dialog_version_update_title; dialog_version_update_error_cannot_check_version; dialog_version_update_downloader_title; dialog_version_update_downloader_confirm_install; dialog_version_update_downloader_error_cannot_download; model_html_read_database_meta_data; model_navigator_Description; model_navigator_Name; model_navigator_load_; model_navigator_load_items_; model_navigator_Model_root; model_navigator_Project; model_navigator_resource_exception_already_exists; model_navigator_Root; model_project_bookmarks_folder; model_project_cant_open_bookmark; model_project_open_bookmark; model_project_Script; model_project_Scripts; pref_page_confirmations_combo_always; pref_page_confirmations_combo_never; pref_page_confirmations_combo_prompt; pref_page_confirmations_group_general_actions; pref_page_confirmations_group_object_editor; pref_page_confirmations_table_column_confirmation; pref_page_confirmations_table_column_confirmation_tip; pref_page_confirmations_table_column_group; pref_page_confirmations_table_column_value; pref_page_confirmations_table_column_value_tip; pref_page_confirmations_table_column_confirm; pref_page_confirmations_table_column_confirm_tip; pref_page_database_general_separate_meta_connection; pref_page_database_general_checkbox_case_sensitive_names; pref_page_database_general_group_performance; pref_page_database_general_checkbox_disable_extra_metadata; pref_page_database_general_checkbox_disable_extra_metadata_tip; pref_page_database_general_checkbox_rollback_on_error; pref_page_database_general_checkbox_show_row_count; pref_page_database_general_group_metadata; pref_page_database_general_group_ordering; pref_page_error_handle_name; pref_page_error_handle_description; pref_page_error_handle_group_timeouts_title; pref_page_error_handle_connection_open_timeout_label; pref_page_error_handle_connection_open_timeout_label_tip; pref_page_error_handle_connection_close_timeout_label; pref_page_error_handle_connection_close_timeout_label_tip; pref_page_error_handle_connection_validate_timeout_label; pref_page_error_handle_connection_validate_timeout_label_tip; pref_page_error_handle_group_execute_title; pref_page_error_handle_recover_enabled_label; pref_page_error_handle_recover_enabled_tip; pref_page_error_handle_recover_retry_count_label; pref_page_error_handle_recover_retry_count_tip; pref_page_error_handle_group_cancel_title; pref_page_error_handle_cancel_check_timeout; pref_page_error_handle_cancel_check_timeout_tip; pref_page_query_manager_checkbox_ddl_executions; pref_page_query_manager_checkbox_metadata_read; pref_page_query_manager_checkbox_metadata_write; pref_page_query_manager_checkbox_other; pref_page_query_manager_checkbox_queries; pref_page_query_manager_checkbox_scripts; pref_page_query_manager_checkbox_sessions; pref_page_query_manager_checkbox_transactions; pref_page_query_manager_checkbox_user_queries; pref_page_query_manager_checkbox_user_filtered; pref_page_query_manager_checkbox_user_scripts; pref_page_query_manager_checkbox_utility_functions; pref_page_query_manager_group_object_types; pref_page_query_manager_group_query_types; pref_page_query_manager_group_settings; pref_page_query_manager_group_storage; pref_page_query_manager_checkbox_store_log_file; pref_page_query_manager_logs_folder; pref_page_query_manager_label_days_to_store_log; pref_page_query_manager_label_entries_per_page; pref_page_query_manager_log_file_hint; pref_page_ui_general_checkbox_automatic_updates; pref_page_ui_general_group_browser; pref_page_ui_general_combo_browser; pref_page_ui_general_combo_browser_tip; pref_page_ui_general_check_browser_auth; pref_page_ui_general_check_browser_auth_tip; pref_page_ui_general_combo_language; pref_page_ui_general_combo_timezone; pref_page_ui_general_combo_timezone_tip; pref_page_ui_general_combo_language_tip; pref_page_ui_general_keep_database_editors; pref_page_ui_general_keep_database_editors_tip; pref_page_ui_general_refresh_editor_on_open; pref_page_ui_general_refresh_editor_on_open_tip; pref_page_ui_general_keep_database_editors_on_disconnect; pref_page_ui_general_keep_database_editors_on_disconnect_tip; pref_page_ui_general_group_general; pref_page_ui_general_group_regional; pref_page_ui_general_group_language; pref_page_ui_general_group_editors; pref_page_eclipse_ui_general_group_general; pref_page_eclipse_ui_general_group_label; pref_page_eclipse_ui_general_connections_group_label; runtime_jobs_connect_name; runtime_jobs_connect_status_connected; runtime_jobs_connect_status_error; runtime_jobs_disconnect_name; runtime_jobs_connect_thread_name; runtime_jobs_disconnect_error; toolbar_editors_sql_run_statement_name; toolbar_editors_sql_run_statementNew_name; toolbar_editors_sql_run_script_name; toolbar_editors_sql_run_scriptNew_name; toolbar_editors_sql_run_explain_name; editor_file_open_in_explorer; editor_file_copy_path; editor_file_copy_object_name; editor_file_rename; dialog_setting_connection_wizard_title; dialog_setting_connection_general; dialog_connection_network_title; dialog_connection_network_add_tunnel_label; dialog_connection_wizard_final_label_connection_type; dialog_connection_wizard_final_label_connection_types_edit; dialog_connection_wizard_final_label_navigator_settings; dialog_connection_wizard_final_label_navigator_settings_customize; dialog_connection_wizard_final_label_edit; dialog_connection_wizard_final_label_connection; dialog_connection_wizard_final_label_isolation_level; dialog_connection_wizard_final_label_default_database; dialog_connection_wizard_final_label_default_database_tooltip; dialog_connection_wizard_final_label_default_schema; dialog_connection_wizard_final_label_default_schema_tooltip; dialog_connection_wizard_final_label_keepalive; dialog_connection_wizard_final_label_keepalive_tooltip; dialog_connection_wizard_final_label_isolation_level_tooltip; dialog_connection_wizard_final_label_close_idle_connections; dialog_connection_wizard_final_label_close_idle_connections_tooltip; dialog_connection_wizard_final_label_bootstrap_query; dialog_connection_wizard_configure; dialog_connection_wizard_final_label_shell_command; dialog_connection_wizard_connection_init_hint; dialog_connection_wizard_connection_init_hint_tip; dialog_connection_wizard_connection_init_docs_hint; dialog_connection_wizard_description; dialog_connection_wizard_final_label_bootstrap_tooltip; dialog_connection_wizard_socksproxy_host; dialog_connection_wizard_socksproxy_port; dialog_connection_wizard_socksproxy_username; dialog_connection_wizard_socksproxy_password; dialog_connection_test_title; dialog_connection_test_label_server; dialog_connection_test_label_driver; dialog_connection_test_properties_title; pref_page_database_client_name_group; pref_page_database_client_name_group_description; pref_page_database_label_disable_client_application_name; pref_page_database_label_override_client_application_name; pref_page_database_label_client_application_name; pref_page_database_general_separate_meta_connection_tip; pref_page_database_general_checkbox_case_sensitive_names_tip; pref_page_database_general_checkbox_show_row_count_tip; pref_page_database_general_server_side_object_filters; pref_page_database_general_server_side_object_filters_tip; pref_page_database_general_group_query_metadata; pref_page_database_general_checkbox_add_special_DDL_info; pref_page_database_general_checkbox_add_special_DDL_info_tip; pref_page_ui_general_show_full_name_in_editor; pref_page_ui_general_show_table_grid; pref_page_ui_general_show_preview_on_save; pref_page_ui_general_group_task_bar; pref_page_ui_general_label_enable_long_operations; pref_page_ui_general_label_enable_long_operations_tip; pref_page_ui_general_label_long_operation_timeout; pref_page_ui_general_group_notifications; pref_page_ui_general_group_resources; pref_page_ui_general_label_default_resource_encoding; pref_page_ui_general_label_set_default_resource_encoding_tip; pref_page_ui_general_group_debug_logs; pref_page_ui_general_label_enable_debug_logs; pref_page_ui_general_label_enable_debug_logs_tip; pref_page_ui_general_label_log_file_location; pref_page_ui_general_label_open_file_text; pref_page_ui_general_label_options_take_effect_after_restart; pref_page_ui_general_label_settings; pref_page_notifications_group_global; pref_page_notifications_enable_notifications_label; pref_page_notifications_enable_notifications_label_tip; pref_page_notifications_label_notifications_close_delay; pref_page_notifications_enable_sounds_label; pref_page_notifications_sound_volume_label; pref_page_notifications_column_name_label; pref_page_notifications_column_sound_label; pref_page_notifications_column_popup_label; pref_page_database_general_label_sync_editor_connection_with_navigator; pref_page_database_general_label_sync_editor_connection_with_navigator_tip; pref_page_database_general_group_toolbars; pref_page_database_general_label_show_general_toolbar_everywhere; pref_page_database_general_label_show_general_toolbar_everywhere_tip; pref_page_database_general_label_show_edit_toolbar; pref_page_database_general_label_show_edit_toolbar_tip; pref_page_database_general_label_database_selector_width; pref_page_database_general_label_database_selector_width_tip; pref_page_database_general_label_schema_selector_width; pref_page_database_general_label_schema_selector_width_tip; pref_page_connection_types_label_table_column_name; pref_page_connection_types_label_table_column_description; pref_page_connection_types_label_delete_connection_type; pref_page_connection_types_label_delete_connection_type_description; pref_page_connection_types_group_parameters; pref_page_connection_types_group_settings; pref_page_connection_types_label_id; pref_page_connection_types_label_name; pref_page_connection_types_label_description; pref_page_connection_types_label_color; pref_page_connection_types_label_auto_commit_by_default; pref_page_connection_types_label_auto_commit_by_default_tip; pref_page_connection_types_label_confirm_sql_execution; pref_page_connection_types_label_confirm_sql_execution_tip; pref_page_connection_types_label_confirm_data_change; pref_page_connection_types_label_confirm_data_change_tip; pref_page_connection_types_wiki_link; pref_page_connection_label_general; pref_page_connection_label_use_environment; pref_page_connections_application_name_text; pref_page_connection_label_default_connection_name_pattern; pref_page_connection_label_default_connection_name_pattern_tip; pref_page_connection_label_default_connection_name_pattern_sample_tip; pref_page_connection_label_default_connection_name_pattern_sample; pref_page_connection_label_default_connection_template_variables; pref_page_connection_label_default_connection_template_variables_tip; pref_page_network_expert_label; pref_page_network_expert_preferred_ip_stack_label; pref_page_network_expert_preferred_ip_stack_tip; pref_page_network_expert_preferred_ip_addresses_label; pref_page_network_expert_preferred_ip_addresses_tip; pref_page_network_expert_restart_prompt_title; pref_page_network_expert_restart_prompt_message; pref_page_connection_label_default_settings; transaction_info_dialog_checkbox_show_all_queries; transaction_info_dialog_checkbox_show_previous_transactions; transaction_info_dialog_label_otherwise; transaction_info_dialog_label_show_all_transaction_queries; transaction_log_dialog_header_transaction_log; transaction_log_dialog_error_connect_to_a_database; transaction_log_dialog_error_no_editor; transaction_log_dialog_error_open_database; dialog_connection_edit_title; dialog_connection_edit_wizard_general; dialog_connection_edit_wizard_general_bootstrap_query_title; dialog_connection_edit_wizard_general_bootstrap_query_sql_label; dialog_connection_edit_wizard_general_bootstrap_query_sql_title; dialog_connection_edit_wizard_general_bootstrap_query_ignore_error_lable; dialog_connection_edit_wizard_shell_cmd; dialog_connection_edit_wizard_shell_cmd_pause_label; dialog_connection_edit_wizard_shell_cmd_pause_tooltip; dialog_connection_edit_wizard_shell_cmd_directory_label; dialog_connection_edit_wizard_shell_cmd_directory_title; dialog_connection_edit_wizard_shell_cmd_variables_hint_label; dialog_connection_edit_wizard_shell_cmd_variables_hint_title; dialog_connection_edit_wizard_connections; dialog_connection_edit_wizard_connections_description; dialog_connection_edit_wizard_transactions; dialog_connection_edit_wizard_transactions_description; dialog_connection_edit_wizard_metadata; dialog_connection_edit_wizard_metadata_description; dialog_connection_edit_wizard_conn_change_title; dialog_connection_edit_wizard_conn_change_question; dialog_connection_edit_wizard_lock_pwd_title; dialog_connection_edit_wizard_bad_pwd_title; dialog_connection_edit_wizard_bad_pwd_msg; dialog_connection_edit_wizard_error_md5_title; dialog_connection_edit_wizard_error_md5_msg; transaction_log_dialog_error_not_connected; resource_shortcut_deleted_title; resource_shortcut_deleted_message; pref_page_ui_general_boolean; pref_page_ui_general_boolean_label_mode; pref_page_ui_general_boolean_label_state; pref_page_ui_general_boolean_label_text; pref_page_ui_general_boolean_label_align; pref_page_ui_general_boolean_label_color; pref_page_ui_general_boolean_styles; pref_page_ui_general_boolean_color; pref_page_ui_general_boolean_color_use_theme_color; pref_page_ui_general_boolean_invalid_values; toolbar_checkbox_connection_readonly_tooltip; toolbar_checkbox_connection_not_readonly_tooltip; driver_connection_sort_by; monitor_panel_transaction_monitor_tip; variable_host_or_database; dialog_data_source_synchronize_title; dialog_data_source_synchronize_message; dialog_data_source_synchronize_reply_keep_local_label; dialog_data_source_synchronize_reply_keep_remote_label; pref_page_connections_group_security; pref_page_connections_use_win_cert_label; pref_page_connections_use_win_cert_tip; pref_page_connections_use_win_cert_disabled_tip; pref_page_connections_wiki_link; pref_page_transactions_notify_name_group_label; pref_page_transactions_notifications_show_check_label; pref_page_transactions_notifications_show_check_description; pref_page_label_edit_permissions; pref_page_logs_files_max_size_label; pref_page_logs_files_max_count_label; popup_open_browser_open_external_browser; pref_page_accessibility_screen_reader_msg; pref_page_accessibility_screen_reader_description; pref_page_accessibility_screen_reader_group_lbl
.,org.jkiss.dbeaver.core,DBeaverActivator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: WorkbenchContextListener; DesktopPlatform; DBeaverActivator; DesktopUI
.,org.jkiss.dbeaver.core,DesktopPlatform,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PLUGIN_ID; DBEAVER_DATA_DIR; TEMP_PROJECT_NAME; DBEAVER_CONFIG_FOLDER; DBEAVER_CONFIG_FILE; DBEAVER_PROP_LANGUAGE; log; instance; isClosing; tempFolder; workspace; queryManager; qmLogWriter; certificateStorage; language
.,org.jkiss.dbeaver.core,DesktopPreferencesInitializer,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.core,DesktopUI,Feature Envy,The tool detected a instance of this smell because refreshPartContexts is more interested in members of the type: WorkbenchContextListener
.,org.jkiss.dbeaver.core,DesktopUI,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 44 public methods
.,org.jkiss.dbeaver.core,WorkbenchContextListener,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: PERSPECTIVE_CONTEXT_ID; commandExecutionListener; registeredWindows; perspectiveActivation; editorListenersSyncRoot; editorListeners
.,org.jkiss.dbeaver.core,WorkbenchContextListener.CommandExecutionListener,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.core,WorkbenchContextListener.CommandExecutionListener,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver,DBeaverPreferences,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: AGENT_ENABLED; AGENT_LONG_OPERATION_NOTIFY; AGENT_LONG_OPERATION_TIMEOUT; SECURITY_USE_BOUNCY_CASTLE; TEXT_EDIT_UNDO_LEVEL; CONFIRM_EXIT; CONFIRM_DRIVER_DOWNLOAD; CONFIRM_DISABLE_NETWORK_HANDLER; NAVIGATOR_EDITOR_FULL_NAME; PROPERTY_USE_ALL_COLUMNS_QUIET; UI_AUTO_UPDATE_CHECK; UI_UPDATE_CHECK_TIME; UI_KEEP_DATABASE_EDITORS; UI_KEEP_DATABASE_EDITORS_ON_DISCONNECT; UI_USE_EMBEDDED_AUTH; UI_SHOW_HOLIDAY_DECORATIONS; RESOURCE_HANDLER_ROOT_PREFIX; LOGS_DEBUG_ENABLED; LOGS_DEBUG_LOCATION
