Project Name,Package Name,Type Name,Design Smell,Cause of the Smell
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2PeriodType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineLanguage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineLanguage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineOrigin,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineOrigin,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineRowType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; parameterKind
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; procedureType
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineValidType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2RoutineValidType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2SequencePrecision,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; dataType; sqlKeyword
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2SequenceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableAccessMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableCheckConstraintColUsage,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableCheckConstraintType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableColumnCompression,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableColumnGenerated,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableCompressionMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableCompressionMode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableDepType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; db2ObjectType
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableDropRule,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableDropRule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableLockSize,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableLockSize,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableOrganizationMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableOrganizationMode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TablePartitionAccessMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TablePartitionMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TablePartitionStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableRefreshMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TablespaceDataType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; validForUserTables
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TablespaceType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; state
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableTemporalType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableTemporalType,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TableType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: description; db2ObjectType; IN_CLAUSE_CACHE
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerDebugMode,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerDebugMode,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerDepType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; db2ObjectType
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerEvent,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerEvent,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerGranularity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerGranularity,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerTime,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerTime,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerValid,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; state
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2TriggerValid,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2UniqueRule,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; unique
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2ViewCheck,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2ViewStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; state
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2XMLSchemaDepType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name; db2ObjectType
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2XSRDecomposition,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2XSRStatus,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2XSRType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.dict,DB2YesNo,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2Nickname,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DB2TableIndexCache; DB2TableBase; DB2Schema; DB2DataSource; DB2GranteeCache; DB2Grantee; DB2GranteeAuthCache; DB2AuthBase; DB2GranteeRoleCache; DB2RoleAuth; DB2Role; DB2GranteeDatabaseAuthCache; DB2DatabaseAuth; DB2CurrentUserPrivileges; DB2DataType; DB2Tablespace; DB2TablespaceContainerCache; DB2StorageGroup; DB2Bufferpool; DB2TablespaceContainer; DB2Variable; DB2Table; DB2TableTriggerCache; DB2TableColumn; DB2TableUniqueKey; DB2TableForeignKey; DB2TableCheckConstraint; DB2ColumnMask; DB2View; DB2MaterializedQueryTable; DB2Index; DB2IndexColumn; DB2Trigger; DB2TriggerDepCache; DB2Sequence; DB2XMLSchema; DB2Alias; DB2Package; DB2Routine; DB2RoutineParmsCache; DB2Nickname; DB2RemoteServer; DB2RemoteServerOptionCache; DB2Wrapper
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2Nickname,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 26 public methods
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2NicknameRemoteType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2RemoteServerOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2UserMapping,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2WrapperOption,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.fed,DB2WrapperType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.module,DB2Module,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 24 public methods
.,org.jkiss.dbeaver.ext.db2.model.module,DB2ModuleCondition,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.module,DB2ModuleType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanInstance,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanNodeType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanObject,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 49 public methods
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanOperator,Feature Envy,The tool detected a instance of this smell because setQueryParameters is more interested in members of the type: DB2PlanStatement
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanOperator,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DB2PlanStatement; DB2PlanOperator
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanOperatorArgument,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanOperatorPredicate,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanOperatorType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.plan,DB2PlanStream,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthBase,Wide Hierarchy,The tool detected the smell in this class because the number of children for the class is large. This class has following sub-classes: DB2AuthColumn; DB2AuthIndex; DB2AuthMethod; DB2AuthModule; DB2AuthPackage; DB2AuthProcedure; DB2AuthSchema; DB2AuthSequence; DB2AuthTableBase; DB2AuthTablespace; DB2AuthUDF; DB2AuthVariable; DB2AuthXMLSchema
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthBase,Cyclically-dependent Modularization,The tool detected the smell in this class because this class participates in a cyclic dependency. The participating classes in the cycle are: DB2TableIndexCache; DB2TableBase; DB2Schema; DB2DataSource; DB2GranteeCache; DB2Grantee; DB2GranteeAuthCache; DB2AuthBase; DB2GranteeRoleCache; DB2RoleAuth; DB2Role; DB2GranteeDatabaseAuthCache; DB2DatabaseAuth; DB2CurrentUserPrivileges; DB2DataType; DB2Tablespace; DB2TablespaceContainerCache; DB2StorageGroup; DB2Bufferpool; DB2TablespaceContainer; DB2Variable; DB2Table; DB2TableTriggerCache; DB2TableColumn; DB2TableUniqueKey; DB2TableForeignKey; DB2TableCheckConstraint; DB2ColumnMask; DB2View; DB2MaterializedQueryTable; DB2Index; DB2IndexColumn; DB2Trigger; DB2TriggerDepCache; DB2Sequence; DB2XMLSchema; DB2Alias; DB2Package; DB2Routine; DB2RoutineParmsCache; DB2Nickname; DB2RemoteServer; DB2RemoteServerOptionCache; DB2Wrapper
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthColumn,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthHeldType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthIDType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthIndex,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthMaterializedQueryTable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthMaterializedQueryTable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2AuthTableBase
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthMethod,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthModule,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthPackage,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthProcedure,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthSchema,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthSequence,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthTable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthTable,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2AuthTableBase
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthTableBase,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2AuthBase
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthTablespace,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthUDF,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthVariable,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthView,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthView,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2AuthTableBase
.,org.jkiss.dbeaver.ext.db2.model.security,DB2AuthXMLSchema,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2DatabaseAuth,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 21 public methods
.,org.jkiss.dbeaver.ext.db2.model.security,DB2Grantee,Insufficient Modularization,The tool detected the smell in this class becuase the class has bloated interface (large number of public methods). Total public methods in the class: 20 public methods
.,org.jkiss.dbeaver.ext.db2.model.security,DB2GrantorGranteeType,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: name
.,org.jkiss.dbeaver.ext.db2.model.security,DB2Group,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2RoleDep,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.model.security,DB2User,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgCheckTableTool,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgCheckTableTool,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2ToolWithStatus
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgCheckTableToolSettings,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexTool,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexTool,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2ToolWithStatus
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexToolSettings.CheckStorageOptionListProvider,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexToolSettings.CheckStorageOptionListProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexToolSettings.CheckTriggersOptionListProvider,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2ReorgIndexToolSettings.CheckTriggersOptionListProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsOptions,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: desc; ddlString
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsTool,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsTool,Broken Hierarchy,The tool detected a potential instance of the smell because this type does not implement or override any method from it's supertype(s): DB2ToolWithStatus
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.CheckStorageOptionListProvider,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.CheckStorageOptionListProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.CheckTriggersOptionListProvider,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.CheckTriggersOptionListProvider,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.DB2StatisticPercentLimiter,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: 
.,org.jkiss.dbeaver.ext.db2.tasks,DB2RunstatsToolSettings.DB2StatisticPercentLimiter,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
.,org.jkiss.dbeaver.ext.db2.tasks,DB2SQLTasks,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: TASK_TABLE_TRUNCATE; TASK_TABLE_REORG_CHECK; TASK_TABLE_REORG_INDEX; TASK_TABLE_RUNSTATS
.,org.jkiss.dbeaver.ext.db2.tasks,DB2SQLTasks,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.)
